"","year","tournament","match_id","opponent","round","set","rally_phase","rally_length","chou_win","shot_type","backhand","chou_x","chou_y","opp_x","opp_y","shuttle_x","shuttle_y","chou_opp_vx","chou_opp_vy","chou_opp_dist","chou_opp_uvx","chou_opp_uvy","chou_opp_uvx_perp","chou_opp_uvy_perp","chou_shuttle_vx","chou_shuttle_vy","chou_shuttle_dist","chou_shuttle_paral","chou_shuttle_perp","is_inf"
"1",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",2,"loss","clear","backhand",151,355,175,657,258,821,24,302,302.952141434914,0.0792204335850722,0.996857122612159,-0.996857122612159,0.0792204335850722,107,466,478.126552285062,473.012005530869,-69.7469900688574,FALSE
"2",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",6,"loss","drive","forehand",178,293,159,649,341,822,-19,356,356.506661929339,-0.0532949367542699,0.998578814974741,-0.998578814974741,-0.0532949367542699,163,529,553.543132917391,519.561118430692,-190.961368383892,FALSE
"3",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",16,"win","rush","forehand",149,370,151,685,94,778,2,315,315.006349142363,0.00634907837713496,0.999979844398756,-0.999979844398756,0.00634907837713496,-55,408,411.690417668422,407.64257720395,57.5893154198027,FALSE
"4",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",5,"loss","cross-court net shot","backhand",243,289,211,723,259,471,-32,434,435.178124450207,-0.0735331079438517,0.997292776488488,-0.997292776488488,-0.0735331079438517,16,182,182.701943065748,180.330755593803,-29.3397100695968,FALSE
"5",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",4,"loss","drop","forehand",128,292,137,727,306,599,9,435,435.0930934869,0.0206852283677332,0.99978603777377,-0.99978603777377,0.0206852283677332,178,307,354.870398878238,310.616284246004,-171.611549614837,FALSE
"6",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",6,"loss","push","backhand",177,309,165,675,273,827,-12,366,366.196668472011,-0.0327692768207616,0.999462943033229,-0.999462943033229,-0.0327692768207616,96,518,526.82065259441,514.57595391642,-112.922927924345,FALSE
"7",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",22,"win","smash","forehand",106,196,156,672,251,743,50,476,478.618846264959,0.10446726114149,0.994528326066983,-0.994528326066983,0.10446726114149,145,547,565.892215885676,559.154747224156,-87.0630154353177,FALSE
"8",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","early",9,"loss","net shot","forehand",160,351,178,663,165,447,18,312,312.51879943453,0.0575965350966697,0.998339941675609,-0.998339941675609,0.0575965350966697,5,96,96.1301201497221,96.1286170763418,0.537567660902251,FALSE
"9",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",39,"win","smash","forehand",107,228,158,691,60,784,51,463,465.800386431785,0.109488960261884,0.993988011789263,-0.993988011789263,0.109488960261884,-47,556,557.982974650661,547.511353422522,107.593298459703,FALSE
"10",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",18,"loss","smash","forehand",123,218,150,706,198,467,27,488,488.746355485133,0.0552433786911815,0.998472918566539,-0.998472918566539,0.0552433786911815,75,249,260.049995193232,252.763010124907,-61.1298675983863,FALSE
"11",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",40,"loss","return net","forehand",134,333,153,716,82,445,19,383,383.47098977628,0.0495474247245789,0.998771772079669,-0.998771772079669,0.0495474247245789,-52,112,123.482792323465,109.285972387245,57.4854437172956,FALSE
"12",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",19,"win","cross-court net shot","forehand",122,374,140,733,295,516,18,359,359.45097023099,0.0500763706060742,0.998745391532258,-0.998745391532258,0.0500763706060742,173,142,223.814655462952,150.485057712431,-165.672108109018,FALSE
"13",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",7,"loss","clear","forehand",128,223,175,703,263,817,47,480,482.295552540141,0.0974506187180489,0.995240361375818,-0.995240361375818,0.0974506187180489,135,594,609.147765324638,604.328608184173,-76.4717812672144,FALSE
"14",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",5,"loss","smash","forehand",167,229,188,675,332,760,21,446,446.494120901944,0.0470330940922106,0.998893331672663,-0.998893331672663,0.0470330940922106,165,531,556.044962210791,538.172819643399,-139.842826763026,FALSE
"15",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",12,"loss","cross-court net shot","forehand",163,284,103,765,231,438,-60,481,484.727758643963,-0.123780821151756,0.992309582899912,-0.992309582899912,-0.123780821151756,68,154,168.344884092152,144.398579928267,-86.5392980945644,FALSE
"16",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","mid",8,"loss","cross-court net shot","forehand",117,304,141,667,170,449,24,363,363.792523287656,0.0659716691896464,0.997821496493402,-0.997821496493402,0.0659716691896464,53,145,154.382641511279,148.180615458595,-43.3186472816516,FALSE
"17",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",17,"loss","return net","forehand",179,300,119,688,175,432,-60,388,392.61176752614,-0.152822724540484,0.988253618695132,-0.988253618695132,-0.152822724540484,-4,132,132.060592153753,131.060768565919,-16.2195851645634,FALSE
"18",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",10,"loss","drop","forehand",162,186,186,674,251,466,24,488,488.589807507279,0.0491209591997935,0.998792837062467,-0.998792837062467,0.0491209591997935,89,280,293.80435667294,284.033759746272,-75.1386939226174,FALSE
"19",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",44,"loss","clear","backhand",202,232,200,646,324,789,-2,414,414.004830889689,-0.0048308615039637,0.999988331320486,-0.999988331320486,-0.0048308615039637,122,557,570.204349334517,556.404135442027,-124.689366278807,FALSE
"20",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",6,"loss","return net","forehand",156,269,246,774,84,454,90,505,512.95711321708,0.175453264378289,0.98448776123373,-0.98448776123373,0.175453264378289,-72,185,198.517001790779,169.497600793003,103.341972718812,FALSE
"21",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",16,"win","wrist smash","forehand",225,222,178,712,56,645,-47,490,492.248920770782,-0.0954801483899763,0.995431334278477,-0.995431334278477,-0.0954801483899763,-169,423,455.510702398967,437.203599477702,127.839792724103,FALSE
"22",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",25,"win","rush","forehand",241,379,241,714,240,739,0,335,335,0,1,-1,0,-1,360,360.00138888621,360,1,FALSE
"23",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",3,"loss","return net","forehand",178,302,228,750,75,468,50,448,450.781543544099,0.110918471965143,0.993829508807682,-0.993829508807682,0.110918471965143,-103,166,195.358644548942,153.551095849665,120.776905753405,FALSE
"24",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",12,"win","smash","forehand",146,281,173,707,84,742,27,426,426.854776241288,0.0632533627425964,0.997997501049854,-0.997997501049854,0.0632533627425964,-62,461,465.150513275004,456.155139493942,91.0356452894279,FALSE
"25",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","1","late",17,"loss","net shot","forehand",102,363,136,663,69,445,34,300,301.920519342426,0.112612418904323,0.993638990332262,-0.993638990332262,0.112612418904323,-33,82,88.3911760301898,77.7621873834028,42.0243050311191,FALSE
"26",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",4,"loss","smash","forehand",257,789,191,258,310,198,-66,-531,535.085974400376,-0.123344664516689,-0.992363891793361,0.992363891793361,-0.123344664516689,53,-591,593.371721604594,579.949792830492,125.491982994411,FALSE
"27",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",4,"win","smash","forehand",165,759,165,238,211,236,0,-521,521,0,-1,1,0,46,-523,525.019047273525,523,46,FALSE
"28",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",5,"win","other","forehand",247,775,202,282,290,175,-45,-493,495.049492475247,-0.0909000022906801,-0.995860025095673,0.995860025095673,-0.0909000022906801,43,-600,601.538859925109,593.607314958905,97.361982453522,FALSE
"29",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",3,"win","smash","forehand",121,764,169,281,289,268,48,-483,485.379233177523,0.0988917463274422,-0.995098197419887,0.995098197419887,0.0988917463274422,168,-496,523.6792911697,510.182519303274,118.12619098813,FALSE
"30",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",7,"loss","drive","forehand",230,574,211,279,272,135,-19,-295,295.611231180414,-0.0642736066695793,-0.997932314080311,0.997932314080311,-0.0642736066695793,42,-439,441.004535124073,435.392794401134,70.1292705193184,FALSE
"31",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",18,"win","smash","forehand",82,779,152,272,274,298,70,-507,511.809534885781,0.136769628599478,-0.990602881427649,0.990602881427649,0.136769628599478,192,-481,517.904431338447,502.739754657799,124.40956187776,FALSE
"32",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",1,"loss","other","backhand",164,652,218,293,163,340,54,-359,363.038565444499,0.148744527826908,-0.988875657219628,0.988875657219628,0.148744527826908,-1,-312,312.001602559987,308.380460524697,-47.3971683392149,FALSE
"33",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",34,"loss","smash","forehand",227,737,189,258,202,501,-38,-479,480.504942742528,-0.0790834736956323,-0.996867997373891,0.996867997373891,-0.0790834736956323,-25,-236,237.320458452279,237.237934222629,-6.25800014217806,FALSE
"34",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",15,"loss","lob","backhand",116,606,153,320,141,517,37,-286,288.383425321221,0.128301409690196,-0.991735220848543,0.991735220848543,0.128301409690196,25,-89,92.4445779913565,91.4719698977752,13.3745550587861,FALSE
"35",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",8,"win","rush","forehand",138,654,140,250,85,183,2,-404,404.004950464719,0.00495043438873568,-0.999987746524608,0.999987746524608,0.00495043438873568,-53,-471,473.972573046163,470.731855590487,-55.3310051628987,FALSE
"36",2019,"Fuzhou Open",9771,"Kento MOMOTA","Finals","2","early",11,"win","smash","forehand",70,783,147,262,55,254,77,-521,526.659282648659,0.146204581475815,-0.989254375959734,0.989254375959734,0.146204581475815,-15,-529,529.212622676368,521.122496160562,-92.181039240102,FALSE
