match_id,set,set_winner,chou_score,opp_score
9771,1,Kento MOMOTA,15,21
9771,2,CHOU Tien Chen,21,17
9771,3,Kento MOMOTA,18,21
8080,1,CHEN Long,15,21
8080,2,CHEN Long,19,21
6266,1,Kento MOMOTA,19,21
6266,2,Kento MOMOTA,17,21
4627,1,CHEN Long,17,21
4627,2,CHEN Long,17,21
8584,1,Kento MOMOTA,13,21
8584,2,CHOU Tien Chen,21,11
8584,3,Kento MOMOTA,16,21
3447,1,Kento MOMOTA,20,21
3447,2,CHOU Tien Chen,21,16
3447,3,Kento MOMOTA,15,21
8098,1,Kento MOMOTA,19,21
8098,2,Kento MOMOTA,11,21
4162,1,CHOU Tien Chen,21,10
4162,2,CHOU Tien Chen,21,12
6766,1,CHOU Tien Chen,21,11
6766,2,CHOU Tien Chen,21,13
6556,1,CHOU Tien Chen,21,15
6556,2,CHOU Tien Chen,21,15
6743,1,Jonatan CHRISTIE,16,21
6743,2,CHOU Tien Chen,21,18
6743,3,CHOU Tien Chen,21,14
